file,total_distance,first_point_lat,first_point_lon,first_point_time,last_point_in_first_circle_lat,last_point_in_first_circle_lon,last_point_in_first_circle_time,first_point_in_second_circle_lat,first_point_in_second_circle_lon,first_point_in_second_circle_time,time_between_circles_hours,last_point_lat,last_point_lon,last_point_time,total_time_gap_hours,num_points
0862.track,47.46,30.9737004,81.2848084,2023-10-10 07:35:35,30.9849721,81.2702356,2023-10-10 08:21:11,31.1012887,81.3111788,2023-10-10 14:51:11,7.26,30.9668655,81.2868374,2023-10-11 20:26:18,36.84527777777778,3706
0864.track,49.74,30.9782139,81.2837031,2023-10-12 09:45:10,30.9830892,81.2688557,2023-10-12 09:55:52,31.1013013,81.311179,2023-10-12 16:33:46,6.81,30.9784875,81.2836506,2023-10-13 20:43:35,34.97361111111111,7656
0875.track,40.59,30.978565,81.283133,2023-10-22 09:46:16,30.984939,81.270308,2023-10-22 10:12:21,31.101229,81.31122,2023-10-22 15:40:11,5.898611111111111,30.970514,81.328727,2023-10-23 15:42:44,29.941111111111113,3773
0877.track,49.57,30.9784022,81.2827651,2023-10-24 07:42:58,30.9831371,81.2687856,2023-10-24 08:06:22,31.1012658,81.3112177,2023-10-24 13:42:12,5.987222222222222,30.9726909,81.2826166,2023-10-25 22:32:19,38.8225,4823
0879.track,47.02,30.978281,81.283329,2023-10-25 10:31:59,30.984954,81.27025,2023-10-25 10:58:24,31.102977,81.310806,2023-10-25 18:02:11,7.503333333333333,30.977335,81.288493,2023-10-26 21:30:38,34.9775,4383
0881.track,48.95,30.9723459,81.2821721,2023-10-28 09:04:37,30.984909,81.2702788,2023-10-28 09:43:23,31.1013423,81.3111862,2023-10-28 15:41:10,6.609166666666667,30.9723757,81.2821283,2023-10-29 21:12:59,36.13944444444444,4824
0885.track,46.41,30.978235,81.283416,2023-09-22 11:19:17,30.984935,81.270303,2023-09-22 11:38:58,31.101112,81.311283,2023-09-22 16:32:48,5.2252777777777775,30.977764,81.285978,2023-09-23 16:57:47,29.641666666666666,4379
0886.track,48.42,30.9756749,81.2879024,2023-06-22 07:25:25,30.9849324,81.270263,2023-06-22 08:04:35,31.1013414,81.3111883,2023-06-22 16:27:09,9.028888888888888,30.9757137,81.2880434,2023-06-23 22:16:40,38.854166666666664,5018
0887.track,47.39,30.9728355,81.2821896,2023-09-22 13:04:14,30.9849728,81.2702402,2023-09-22 13:50:40,31.1013018,81.3112389,2023-09-22 19:58:20,6.901666666666666,30.9726309,81.2821954,2023-09-23 21:39:56,32.595,4520
0888.track,47.0,30.978349,81.283191,2023-05-15 09:19:09,30.984833,81.270417,2023-05-15 09:41:51,31.101246,81.311573,2023-05-15 14:51:08,5.533055555555555,30.977779,81.285385,2023-05-16 20:32:58,35.23027777777778,1181
0891.track,47.91,30.978282,81.283198,2023-08-02 12:10:49,30.984968,81.270292,2023-08-02 12:32:58,31.101198,81.311224,2023-08-02 18:03:57,5.885555555555555,30.977333,81.288671,2023-08-03 20:47:13,32.60666666666667,4445
0895.track,48.42,30.978203,81.283679,2023-09-11 09:35:50,30.983252,81.26885,2023-09-11 10:03:17,31.101251,81.311255,2023-09-11 17:16:46,7.682222222222222,30.97823,81.283893,2023-09-12 19:42:25,34.109722222222224,4063
0902.track,51.13,30.9691131,81.2861284,2023-07-30 08:33:24,30.9849596,81.2702523,2023-07-30 09:25:07,31.1029684,81.3107693,2023-07-30 15:39:23,7.099722222222222,30.9664612,81.2862329,2023-07-31 18:30:54,33.958333333333336,4767
0903.track,49.88,30.97000999,81.28382851,2023-10-02 08:37:23,30.984927788220524,81.27027600675339,2023-10-02 09:42:19,31.101310893027016,81.31127210996323,2023-10-02 17:56:38,9.320833333333333,30.970865469392276,81.28412971775512,2023-10-03 21:38:50,37.024166666666666,4434
0940.track,48.78,30.978247,81.2837116,2024-05-01 09:45:45,30.9849311,81.2702656,2024-05-01 10:08:31,31.1012628,81.3112446,2024-05-01 17:21:03,7.588333333333333,30.9685302,81.2861386,2024-05-04 00:05:48,62.33416666666667,5407
0945.track,47.56,30.9791709,81.2812672,2024-05-03 09:01:04,30.9849087,81.2702701,2024-05-03 09:21:24,31.1013095,81.3111723,2024-05-03 16:36:54,7.597222222222222,30.9668168,81.2868262,2024-05-04 19:02:10,34.01833333333333,4627
0947.track,45.22,30.9782365,81.2836536,2024-05-03 09:47:30,30.9849543,81.2702972,2024-05-03 10:08:47,31.1012839,81.3112411,2024-05-03 15:52:33,6.0841666666666665,30.97826,81.2836342,2024-05-04 19:55:00,34.125,4317
0964.track,48.01,30.978264,81.2834719,2024-05-04 09:20:32,30.9849532,81.2702559,2024-05-04 09:45:16,31.1013299,81.3112411,2024-05-04 15:26:39,6.101944444444444,30.9781403,81.2838375,2024-05-05 16:25:45,31.086944444444445,4628
