file,track_name,start_lat,start_lon,start_alt,distance_km,begin_time,end_time,time_gap_hours,start_month,start_year
2518.kml,,30.976095,81.28717,4647.2,0.257450347093911,,,,,
2519.kml,,30.97566,81.28821,4686.29102,0.2510532853311374,2017-06-18 18:21:31,2017-06-20 03:58:40,33.62,6,2017
2520.kml,,30.976095,81.28717,4647.2,0.257450347093911,,,,,
2522.kml,,30.97897,81.28207,4685.11426,0.7227140718289509,2017-08-01 00:01:18,2017-08-02 03:43:34,27.7,8,2017
2523.kml,,30.978079,81.283684,4688.063477,0.5538337002340681,2017-08-06 20:03:56,2017-08-08 06:40:04,34.6,8,2017
2525.kml,,30.975222,81.286636,4676.72168,0.1563516166999827,2017-08-10 19:03:26,2017-08-13 06:20:36,59.29,8,2017
2526.kml,,30.97765,81.286011,4696.100098,0.4311297877059428,2017-08-10 17:44:46,2017-08-12 02:11:57,32.45,8,2017
2528.kml,,30.979052,81.281487,4679.634277,0.764783446089345,2017-09-26 16:49:13,2017-09-28 06:43:56,37.91,9,2017
2529.kml,,30.973888,81.286602,4627.090332,0.011511560113655837,,,,,
2530.kml,,30.973888,81.286602,4667.0,0.011511560113655837,,,,,
2531.kml,,30.976385,81.287537,4675.0,0.296798411965827,2019-06-10 03:57:01,2019-06-11 01:29:21,21.54,6,2019
2534.kml,,30.97185088,81.28609917,4644.8916,0.22571214568029596,2022-06-13 17:40:58,2022-06-15 01:33:45,31.88,6,2022
2535.kml,,30.977809,81.285407,4683.949342,0.4604595373572184,2023-05-13 00:38:20,2023-05-14 04:22:41,27.74,5,2023
2536.kml,,30.9693837,81.2838514,4624.29,0.5623055564829373,2023-06-28 16:45:25,2023-06-30 08:00:01,39.24,6,2023
2537.kml,,30.978625,81.282238,4678.499496,0.682621277136661,2023-07-07 00:36:28,2023-07-08 04:35:12,27.98,7,2023
2538.kml,,30.97795,81.284621,4681.459257,0.5001284230143554,2023-07-07 12:40:25,2023-07-09 08:57:51,44.29,7,2023
2539.kml,,30.97803,81.284037,4677.141408,0.5323941312309306,2023-07-21 14:53:43,2023-07-21 20:19:49,5.43,7,2023
2540.kml,,30.977775,81.285411,4687.966196,0.4567138169778841,2023-07-21 20:39:23,2023-07-23 09:21:13,36.7,7,2023
2541.kml,,30.971859,81.285989,4637.0,0.2276942699693781,2023-08-21 16:12:20,2023-08-23 06:23:46,38.19,8,2023
2542.kml,,30.9794602,81.280377,4646.03,0.869466030833947,2023-08-25 13:16:39,2023-08-27 01:41:04,36.41,8,2023
2543.kml,,30.975832,81.285358,4671.001352,0.2575529277714139,2023-09-06 15:02:39,2023-09-07 08:12:45,17.17,9,2023
2544.kml,,30.978407,81.283691,4684.0,0.5850227479316122,2024-04-20 18:40:27,2024-04-20 22:54:35,4.24,4,2024
2550.kml,,30.973,81.28557,4672.0,0.14013292816877984,2014-05-04 18:53:18,2014-05-06 07:08:10,36.25,5,2014
2553.kml,,30.972183,81.2835108,4629.6,0.3533265808280839,2024-05-18 16:22:52,2024-05-20 08:27:20,40.07,5,2024
2555.kml,,30.97227,81.28629,4626.1875,0.17614577573176882,2019-08-17 15:43:00,2019-08-18 09:25:26,17.71,8,2019
2556.kml,,30.977652,81.285904,4654.0,0.4329968665441445,2016-10-13 13:53:57,1969-12-31 16:00:00,-410108.9,10,2016
2557.kml,,30.977652,81.285904,4654.0,0.4329968665441445,,,,,
2558.kml,,30.974276,81.284424,4667.0,0.2219452043599508,,,,,
2559.kml,,30.97765,81.2859,4654.0,0.4328439787723533,2016-10-13 13:53:57,2017-09-05 06:06:11,7840.2,10,2016
2560.kml,,30.97765,81.2859,4654.0,0.4328439787723533,2016-10-13 13:53:57,2017-09-05 06:06:11,7840.2,10,2016
2561.kml,,30.97765,81.2859,4654.0,0.4328439787723533,2016-10-13 13:53:57,2017-09-05 06:06:11,7840.2,10,2016
